集数,功能,模块,时长秒,视频文件,字幕文件,演示范围说明
41,考核结束_什么时候封盘,正式考核,27.0,视频/第41集_考核结束_什么时候封盘.mp4,字幕/第41集_字幕.srt,仅展示菜单和冻结提示，未执行结束考核或封盘签字。
42,正在进行的训练_在哪里,针对性训练,26.18,视频/第42集_正在进行的训练_在哪里.mp4,字幕/第42集_字幕.srt,
43,补练学生_怎样选能力,针对性训练,25.17,视频/第43集_补练学生_怎样选能力.mp4,字幕/第43集_字幕.srt,
44,按分数筛选_怎么操作,针对性训练,27.25,视频/第44集_按分数筛选_怎么操作.mp4,字幕/第44集_字幕.srt,
45,下发训练前_怎样核对学生,针对性训练,24.83,视频/第45集_下发训练前_怎样核对学生.mp4,字幕/第45集_字幕.srt,已切换按班查看并展开班级核对真实学生名单。未改变选择、未确认下发训练。
46,训练动作不合适_怎么调,针对性训练,26.13,视频/第46集_训练动作不合适_怎么调.mp4,字幕/第46集_字幕.srt,展示方案和微调选项，未下发训练或证明家庭端接收。
47,训练方案_怎样确认下发,针对性训练,25.0,视频/第47集_训练方案_怎样确认下发.mp4,字幕/第47集_字幕.srt,未点击确认下发，未验证学生或家长端接收；返回列表核验为操作指引。
48,训练做没做、进步没进步,针对性训练,24.73,视频/第48集_训练做没做、进步没进步.mp4,字幕/第48集_字幕.srt,
49,一轮练完_怎样再开一批,针对性训练,28.26,视频/第49集_一轮练完_怎样再开一批.mp4,字幕/第49集_字幕.srt,展示已结束任务及再开一批表单，未发送新批次训练。
50,全班最需要加强什么,成长与报表,25.88,视频/第50集_全班最需要加强什么.mp4,字幕/第50集_字幕.srt,
51,某个学生的优势短板怎么看,成长与报表,25.0,视频/第51集_某个学生的优势短板怎么看.mp4,字幕/第51集_字幕.srt,个人画像的样例含数据不足与待确认；不据此给学生作能力结论。
52,学生以前的运动成绩在哪里,成长与报表,26.0,视频/第52集_学生以前的运动成绩在哪里.mp4,字幕/第52集_字幕.srt,
53,一次运动的过程评价怎么看,成长与报表,28.35,视频/第53集_一次运动的过程评价怎么看.mp4,字幕/第53集_字幕.srt,已有记录的过程和评价不完整；视频明确区分空白、占位数值和真实结论。
54,学生获得的勋章在哪里,成长与报表,27.21,视频/第54集_学生获得的勋章在哪里.mp4,字幕/第54集_字幕.srt,仅查看已有勋章，不演示颁发或家长端接收。
55,国测还有多少人没测,成长与报表,26.52,视频/第55集_国测还有多少人没测.mp4,字幕/第55集_字幕.srt,
56,期中期末报表_在哪里,成长与报表,24.48,视频/第56集_期中期末报表_在哪里.mp4,字幕/第56集_字幕.srt,样例为无期中期末计划的真实空状态，未虚构已生成成绩报表。
57,中考预测分_怎样理解,成长与报表,29.42,视频/第57集_中考预测分_怎样理解.mp4,字幕/第57集_字幕.srt,说明App当前报表口径，不将示例年份、分值当作已核实的考试政策。
58,怎样创建一场跳绳比赛,跳绳比赛,26.25,视频/第58集_怎样创建一场跳绳比赛.mp4,字幕/第58集_字幕.srt,未提交建赛、未开赛；完整创建后的页面用后续已有比赛示例说明。
59,团体、接力、个人_怎么选,跳绳比赛,26.43,视频/第59集_团体、接力、个人_怎么选.mp4,字幕/第59集_字幕.srt,
60,比赛时间和单双摇怎么设,跳绳比赛,28.05,视频/第60集_比赛时间和单双摇怎么设.mp4,字幕/第60集_字幕.srt,
61,参赛学生_怎样选和分组,跳绳比赛,26.0,视频/第61集_参赛学生_怎样选和分组.mp4,字幕/第61集_字幕.srt,真实表单中选择班级并勾选两名学生，核对建赛人数为2；随后返回取消，未提交建赛或开赛。
62,学生该拿哪根跳绳,跳绳比赛,24.92,视频/第62集_学生该拿哪根跳绳.mp4,字幕/第62集_字幕.srt,展示已有5人配绳结果，未执行自动配绳或改变绑定。
63,比赛前跳绳离线_先查哪里,跳绳比赛,25.84,视频/第63集_比赛前跳绳离线_先查哪里.mp4,字幕/第63集_字幕.srt,样例绳子为离线状态；不虚构在线恢复或设备联调结果。
64,学生准备好_怎样开始比赛,跳绳比赛,25.5,视频/第64集_学生准备好_怎样开始比赛.mp4,字幕/第64集_字幕.srt,未开始比赛；真实样例设备离线，已明确提示仅按钮位置演示。
65,比赛成绩和排名在哪里,跳绳比赛,26.13,视频/第65集_比赛成绩和排名在哪里.mp4,字幕/第65集_字幕.srt,
66,怎样核对本班学生名单,班级人员管理,27.42,视频/第66集_怎样核对本班学生名单.mp4,字幕/第66集_字幕.srt,
67,新转入学生_怎样补进班级,班级人员管理,27.21,视频/第67集_新转入学生_怎样补进班级.mp4,字幕/第67集_字幕.srt,仅查看新增学生表单，未创建人员记录或采集人脸。
68,怎样新建一个班级,班级人员管理,27.33,视频/第68集_怎样新建一个班级.mp4,字幕/第68集_字幕.srt,仅展示真实新建班级表单，未提交创建。
69,老师任教班级_在哪里核对,班级人员管理,30.17,视频/第69集_老师任教班级_在哪里核对.mp4,字幕/第69集_字幕.srt,原课程主题为给老师关联任课班级。实测教师列表、添加老师表单、班级列表及个人资料后，仅确认任教关系展示，未发现关联修改入口。本集据实改为核对任教班级，未演示或声称完成关联修改。
70,上课前_怎样检查设备在线,设备与支持,24.67,视频/第70集_上课前_怎样检查设备在线.mp4,字幕/第70集_字幕.srt,
71,设备每天开放时间怎么设,设备与支持,29.67,视频/第71集_设备每天开放时间怎么设.mp4,字幕/第71集_字幕.srt,仅在本地表单临时调整时间以显示保存并同步设备按钮；未点击保存。返回后重新进入，确认仍为08:00–12:00、15:00–22:00且按钮显示未修改。未同步或控制现场设备。
72,设备音量_在哪里调整,设备与支持,26.17,视频/第72集_设备音量_在哪里调整.mp4,字幕/第72集_字幕.srt,未修改实际设备音量，仅演示控件位置与核对顺序。
73,临时用设备_怎样开放30分钟,设备与支持,26.85,视频/第73集_临时用设备_怎样开放30分钟.mp4,字幕/第73集_字幕.srt,未执行临时开放、临时关闭或设备远程控制。
74,一箱跳绳_怎样整班配发,设备与支持,26.47,视频/第74集_一箱跳绳_怎样整班配发.mp4,字幕/第74集_字幕.srt,只展示整班绑定表单和配对预览，未提交绑定或结束原绑定。
75,设备不能用_怎样提交报修,设备与支持,27.0,视频/第75集_设备不能用_怎样提交报修.mp4,字幕/第75集_字幕.srt,未提交报修工单或发送消息；仅展示报修表单与填写方法。
